abort|gugurkan
access|akses
access management|manajemen akses
access unit|unit akses
account|akun;rekening
action button|tombol tindak;tombol aksi
action setting|penataan tindak;penataan aksi
active desktop|destop aktif
add-ins|tertambah
address|alamat
address book|buku alamat
administration|administrasi
administration domain|ranah administrasi
advisory system|sistem penasihat
affirmation|penegasan
agenda|agenda
algorithm|algoritma
alias|alias
align left|rata kiri
align right|rata kanan
alignment|perataan
alternate|silih
alternate recipient|penerima pilihan
animation|animasi
anonymous remailer|penyurat-balik anonim
append|bubuh
application|aplikasi
apply|terapkan
apply design|desain terapan
arrange|susun
array|larik
artificial intelligence|kecerdasan buatan;intelegensi
ascending|menanjak;urut naik
attribute|atribut
auto clip art|gambar klip otomatis
auto-correct|pembetulan otomatis;otokoreksi
auto-forward|maju otomatis
auto-replay|putar ulang otomatis
auto-reply|balasan otomatis
autofit|otofit
autoformat|format otomatis;otoformat
automatic learning|pemelajaran otomatis
autoshapes|bentuk otomatis
autosum|total otomatis;jumlah otomatis
back|balik;belakang
back slash|garis miring kiri
back space|spasi mundur
back up|(rekam) cadangan
background|latar belakang
backtracking|lacak balik
backward chaining|perantaian balik
band|pita
bandwidth|lebar pita
bar|batang
bar-code|kode batang
bar-code reader|pembaca kode batang
bar-code scanner|pemindai kode batang
base|basis
batch|tumpak
best-first search|telusur pertama terbaik
binary|biner
bit|bit
bit map|peta bit
blackboard model|model papan tulis
blind copy recipient|penerima kopi buntu;penerima buntu
body|bodi;badan
body text|teks tubuh
bold|tebal
border|batas
bps|bps
breadth-first search|telusur pertama lebar
break|putus
broadcast mail|surat siaran
broadcast videography|videografi siaran
browse|ramban;jelajah
browsers|peramban;penjelajah
buffer|penyangga
bug|galat
bullet|bulet
button|tombol
byte|bita
cache memory|memori tembolok;memori
cancel|batal
capacity|kapasitas
capslock|kancing kapital
caption|takarir
card|kartu
cartridge|kartrid;selongsong;patrun
cartridge disk|disket kartu
cascade|riam
cell|sel
center|tengah
central processing unit|unit pengolah pusat
change case|ubah karakter
channel|saluran;kanal
character|aksara;karakter
chart|bagan
chatting|rumpi
clear|bersih;bersihkan
click|klik
client|klien
close|tutup
closed file|berkas tertutup
cluster|gugus;rumpun
coding|pengodean
color|warna
color monitor|monitor warna
column|kolom
comments|komentar
common name|nama umum
computer|komputer
computer aided|berbantuan komputer
computer aided design|desain berbantuan komputer
computer aided instruction|instruksi berbantuan komputer
computer aided manufacturing|pemanufakturan berbantuan
computer conference|konferensi komputer
computer memory|memori komputer
computer network|jaringan komputer
conclusion part|bagian kesimpulan
content|isi
content type|tipe isi
control|kontrol;kendali
convert|ubah
copy|salinan;kopi
